symbol;codepoint;image_file;quarter_top_left_black_mass;quarter_top_right_black_mass;quarter_bottom_left_black_mass;quarter_bottom_right_black_mass;quarter_top_left_rel_black_mass;quarter_top_right_rel_black_mass;quarter_bottom_left_rel_black_mass;quarter_bottom_right_rel_black_mass;center_x;center_y;center_x_rel;center_y_rel;inertia_x;inertia_y;inertia_x_rel;inertia_y_rel
A;U+0041;A.png;514;794;902;1420;0.135979;0.206771;0.234712;0.36373;66.910744;71.700551;0.531038;0.597505;3895657.498898;2757435.080992;253.508004;179.438738
B;U+0042;B.png;1304;1283;1311;1455;0.417013;0.402699;0.412264;0.449074;56.064076;60.135064;0.528906;0.509619;7094709.348403;5063327.021857;557.190713;397.653893
C;U+0043;C.png;1114;606;1277;387;0.338191;0.183971;0.381422;0.115591;39.227837;59.960106;0.366615;0.491476;5403777.614362;3425707.337766;406.788438;257.882215
D;U+0044;D.png;1294;1292;1303;1249;0.365537;0.364972;0.361944;0.346944;61.667186;58.409887;0.518212;0.494999;7271362.777735;7086668.887505;509.199074;496.265328
E;U+0045;E.png;1335;708;1316;664;0.443669;0.230769;0.430065;0.212821;43.699229;59.493413;0.428424;0.504181;6337291.575441;2686474.067611;517.034476;219.178761
F;U+0046;F.png;1241;757;1205;182;0.46742;0.285122;0.446296;0.067407;37.01418;51.633678;0.41589;0.437574;4657989.760709;1532129.31935;434.919679;143.055959
G;U+0047;G.png;1142;775;1296;1197;0.306907;0.208277;0.342676;0.316499;54.316553;64.302494;0.448897;0.52707;6013920.472562;6393152.09161;400.767724;426.039724
H;U+0048;H.png;1299;1342;1289;1333;0.355112;0.366867;0.346505;0.358333;61.878206;58.933878;0.503075;0.49944;7188720.98955;6799216.930268;487.172743;460.776425
I;U+0049;I.png;618;616;625;626;0.402868;0.401565;0.400641;0.401282;25.496177;58.980282;0.499925;0.499833;3628740.033803;154335.213682;586.415649;24.941049
J;U+004A;J.png;152;1052;512;768;0.076768;0.531313;0.254347;0.38152;34.903784;60.541868;0.536981;0.504516;3697768.645733;375208.004428;463.031386;46.983221
K;U+004B;K.png;1527;612;1648;1209;0.404396;0.159583;0.429167;0.31;51.355084;63.385108;0.401212;0.537162;7252669.052042;4353040.080865;472.455804;283.5672
L;U+004C;L.png;1237;15;1305;543;0.4111;0.004889;0.426471;0.174038;35.444194;68.474839;0.347492;0.580295;4989009.037419;1582493.345484;407.033453;129.109353
M;U+004D;M.png;1573;1590;1619;1642;0.346247;0.349989;0.350433;0.355411;79.722914;59.544054;0.521065;0.504611;7882459.532846;12659760.787049;430.124388;690.80873
N;U+004E;N.png;1529;846;665;1404;0.392051;0.213636;0.167718;0.348733;66.520252;55.938569;0.511694;0.466155;5383692.229298;5266417.177318;339.643696;332.245106
Ñ;U+00D1;Ñ.png;1505;938;1002;1716;0.296844;0.182207;0.197633;0.333333;66.619066;79.825228;0.512454;0.515001;9357560.355357;5433427.083898;457.895887;265.875273
O;U+004F;O.png;1142;1170;1197;1152;0.322781;0.32509;0.33287;0.314926;57.839519;61.069084;0.498617;0.500566;5677881.754988;7418603.960523;394.543934;515.50302
P;U+0050;P.png;1185;1279;1243;206;0.446328;0.47126;0.46037;0.074638;42.557373;49.27677;0.47286;0.4176;4739363.25837;2286385.369793;437.654747;211.135411
Q;U+0051;Q.png;1496;1526;944;1462;0.330681;0.331595;0.206024;0.313667;60.31448;71.563007;0.519952;0.458737;9625983.451732;7878786.181835;524.034158;428.917534
R;U+0052;R.png;1337;1165;1435;1096;0.384085;0.329096;0.405367;0.304444;50.925492;59.018875;0.431572;0.50016;6832523.206835;3774665.059408;482.488751;266.553567
S;U+0053;S.png;1243;628;647;1287;0.509426;0.257377;0.260887;0.518952;38.923784;61.518265;0.492706;0.504248;5172331.980552;2182511.897503;525.643494;221.79999
T;U+0054;T.png;989;1005;621;625;0.335254;0.333998;0.207;0.204248;49.786111;46.959568;0.497861;0.397962;5145337.703395;1330526.775;428.100316;110.701953
U;U+0055;U.png;1212;670;1136;695;0.320635;0.174479;0.295602;0.178023;54.585241;58.235658;0.433216;0.485297;5704808.798815;4778191.271209;371.237639;310.938457
V;U+0056;V.png;1310;712;706;636;0.346561;0.185417;0.183711;0.16291;59.24019;48.659631;0.47016;0.405497;3952827.277943;2702393.926278;257.228299;175.856961
W;U+0057;W.png;1807;1500;1244;1250;0.362851;0.297619;0.245704;0.24395;78.392001;51.484227;0.472241;0.429035;6505562.806757;8490674.588864;321.945999;420.184817
X;U+0058;X.png;1292;827;787;1401;0.347592;0.219015;0.208201;0.364844;64.252612;59.022521;0.509941;0.500191;6859676.815417;3573367.158115;453.892464;236.443271
Y;U+0059;Y.png;1373;776;622;657;0.369384;0.205508;0.16455;0.171094;59.29084;48.968786;0.470562;0.41499;4779611.660152;2168759.03238;316.258298;143.50288
Z;U+005A;Z.png;523;1319;1410;623;0.173812;0.429922;0.460784;0.199679;51.131871;61.263742;0.501293;0.519184;6887802.455742;2605955.613935;561.948475;212.609579
