symbol;width;height;weight;weight_rel;center_x;center_y;center_x_rel;center_y_rel;ix;iy;ix_rel;iy_rel
A;127.0;121.0;3630.0;0.23622047244094488;66.9107438016529;71.70055096418733;0.5310376492194675;0.5975045913682278;3895657.4988980717;2757435.0809917357;253.5080040930612;179.43873761903663
B;107.0;119.0;5353.0;0.42040367548888713;56.06407621894265;60.13506444984121;0.5289063794239873;0.5096191902528916;7094709.348402765;5063327.021856902;557.1907129822324;397.6538931796829
C;108.0;123.0;3384.0;0.25474254742547425;39.22783687943262;59.96010638297872;0.36661529793862263;0.49147628182769443;5403777.6143617015;3425707.337765957;406.7884382988333;257.8822145261937
D;120.0;119.0;5138.0;0.35980392156862745;61.66718567536006;58.40988711560919;0.5182116443307568;0.49499904335262024;7271362.777734527;7086668.887504866;509.19907407104535;496.26532825664333
E;103.0;119.0;4023.0;0.32822060863180225;43.69922943077305;59.49341287596321;0.4284238179487554;0.5041814650505356;6337291.575441213;2686474.067611235;517.0344762536683;219.17876051327693
F;90.0;119.0;3385.0;0.3160597572362278;37.014180206794684;51.63367799113737;0.4158896652448841;0.4375735422977743;4657989.76070901;1532129.3193500738;434.919678871056;143.05595885621605
G;122.0;123.0;4410.0;0.29388244702119154;54.31655328798186;64.30249433106576;0.44889713461142033;0.5270696256644735;6013920.472562358;6393152.091609977;400.7677244143914;426.03972355124466
H;124.0;119.0;5263.0;0.35666847384114936;61.87820634619039;58.93387801634049;0.5030748483430113;0.49943964420627535;7188720.989549686;6799216.930267908;487.17274258265695;460.77642520113227
I;52.0;119.0;2485.0;0.40158371040723984;25.496177062374244;58.98028169014084;0.49992504043871067;0.49983289567915967;3628740.0338028166;154335.21368209255;586.4156486429891;24.94104939917462
J;66.0;121.0;2484.0;0.3110443275732532;34.90378421900161;60.54186795491143;0.5369812956769479;0.5045155662909286;3697768.645732689;375208.0044283414;463.0313856414587;46.983221190626274
K;129.0;119.0;4996.0;0.32545111067682886;51.355084067253806;63.385108086469174;0.40121159427542036;0.5371619329361794;7252669.052041633;4353040.080864692;472.45580431513474;283.56719958730326
L;103.0;119.0;3100.0;0.25291670066084687;35.4441935483871;68.47483870967741;0.3474920936116382;0.5802952433023509;4989009.037419355;1582493.345483871;407.0334533262099;129.10935347016976
M;154.0;119.0;6424.0;0.3505402160864346;79.72291407222914;59.54405354919054;0.5210647978577069;0.5046106232982249;7882459.532845579;12659760.787048567;430.12438791037755;690.8087300583088
N;131.0;121.0;4444.0;0.28036086051353226;66.52025202520252;55.93856885688569;0.5116942463477118;0.4661547404740474;5383692.22929793;5266417.177317731;339.6436962524718;332.2451061332238
Ñ;131.0;156.0;5161.0;0.25254452926208654;66.61906607246658;79.82522766905639;0.5124543544035891;0.5150014688326219;9357560.35535749;5433427.08389847;457.8958874220733;265.87527323832796
O;117.0;123.0;4661.0;0.3238829824195678;57.83951941643424;61.069083887577776;0.49861654669339867;0.5005662613735883;5677881.7549882;7418603.960523493;394.54393405518726;515.5030199793963
P;91.0;119.0;3913.0;0.36134453781512604;42.55737285969844;49.27676974188602;0.47285969844109377;0.41759974357530527;4739363.258369537;2286385.369792998;437.654747286872;211.13541137621183
Q;117.0;157.0;5428.0;0.29549784963797704;60.31448047162859;71.56300663227708;0.5199524178588671;0.45873722200177613;9625983.45173176;7878786.18183493;524.0341581867145;428.91753398850943
R;119.0;119.0;5033.0;0.35541275333662875;50.925491754420825;59.01887542221339;0.43157196402051545;0.5001599612051982;6832523.20683489;3774665.0594079085;482.4887512770913;266.5535667966887
S;80.0;123.0;3805.0;0.3866869918699187;38.923784494086725;61.51826544021025;0.4927061328365408;0.5042480773787725;5172331.980551904;2182511.8975032847;525.6434939585268;221.79998958366716
T;101.0;119.0;3240.0;0.2695731758049755;49.78611111111111;46.95956790123457;0.4978611111111111;0.39796243984097096;5145337.703395061;1330526.775;428.1003164485449;110.70195315750061
U;127.0;121.0;3713.0;0.2416216567970326;54.58524104497711;58.235658497172096;0.4332161987696596;0.4852971541431008;5704808.798814975;4778191.271209264;371.2376390196509;310.9384571620527
V;127.0;121.0;3364.0;0.21891065269733845;59.240190249702735;48.65963139120095;0.47016024007700585;0.40549692826000794;3952827.2779429257;2702393.92627824;257.2282994691824;175.85696142892172
W;167.0;121.0;5801.0;0.2870787350917999;78.39200137907257;51.48422685743837;0.47224097216308775;0.42903522381198644;6505562.806757456;8490674.58886399;321.94599924568;420.18481659147767
X;127.0;119.0;4307.0;0.28498643551908953;64.2526120269329;59.022521476665894;0.5099413652931182;0.5001908599717448;6859676.815416763;3573367.158114697;453.8924644621692;236.4432712310393
Y;127.0;119.0;3428.0;0.22682458810295772;59.290840140023334;48.968786464410734;0.47056222333351855;0.414989715800091;4779611.660151693;2168759.0323803965;316.25829816394446;143.50288045923355
Z;103.0;119.0;3875.0;0.3161458758260586;51.13187096774193;61.26374193548387;0.5012928526249208;0.5191842536905413;6887802.4557419345;2605955.6139354836;561.9484748096544;212.60957933715295
